geneName,geneID,zScore
BUD31,ENSG00000106245,-2.549073741
AMPD2,ENSG00000116337,-2.547036807
ACO2,ENSG00000100412,-2.540917999
PSMD7,ENSG00000103035,-2.536086032
CDCA8,ENSG00000134690,-2.53211805
RBM22,ENSG00000086589,-2.53071099
RPS4X,ENSG00000198034,-2.522678712
BRIX1,ENSG00000113460,-2.521438175
DLG2,ENSG00000150672,-2.520748999
RPS11,ENSG00000142534,-2.519726205
SNW1,ENSG00000100603,-2.508621929
XPO1,ENSG00000082898,-2.506978246
LSM5,ENSG00000106355,-2.505918438
SLC25A28,ENSG00000155287,-2.504941272
ABCE1,ENSG00000164163,-2.501063215
SF3A2,ENSG00000104897,-2.500742294
MMS22L,ENSG00000146263,-2.494517844
RPS15,ENSG00000115268,-2.493381257
HSD17B12,ENSG00000149084,-2.486036364
TOP2A,ENSG00000131747,-2.483538801
ETF1,ENSG00000120705,-2.481498337
SNRPG,ENSG00000143977,-2.477253184
UTP15,ENSG00000164338,-2.476294594
SNRPA1,ENSG00000131876,-2.476150339
GPR83,ENSG00000123901,-2.474616715
RPLP2,ENSG00000177600,-2.474176943
EIF3B,ENSG00000106263,-2.473756932
GNG13,ENSG00000127588,-2.47139194
EIF3C,ENSG00000184110,-2.469783074
EIF3A,ENSG00000107581,-2.46899903
PSMA5,ENSG00000143106,-2.466637317
HTR6,ENSG00000158748,-2.463398884
CCDC33,ENSG00000140481,-2.459188146
SNIP1,ENSG00000163877,-2.4579709
TPX2,ENSG00000088325,-2.457500005
UBE2C,ENSG00000175063,-2.453145058
RAD51,ENSG00000051180,-2.452230498
GINS1,ENSG00000101003,-2.450569421
PSMA2,ENSG00000106588,-2.44957144
WDR75,ENSG00000115368,-2.44953886
KRTAP5-2,ENSG00000278489,-2.445840458
KRTAP5-2,ENSG00000281533,-2.445840458
KRTAP5-2,ENSG00000205867,-2.445840458
RPS23,ENSG00000186468,-2.44560046
ANLN,ENSG00000011426,-2.443664234
TMEM132A,ENSG00000006118,-2.440711523
GNA11,ENSG00000088256,-2.43929041
PRPF18,ENSG00000165630,-2.436639064
F13A1,ENSG00000124491,-2.43509231
EYA3,ENSG00000158161,-2.424716834
CYP2B6,ENSG00000197408,-2.422759259
G6PD,ENSG00000160211,-2.422314781
RPL27,ENSG00000131469,-2.422271131
NUP133,ENSG00000069248,-2.422034128
RPS21,ENSG00000171858,-2.41912347
RHBDF2,ENSG00000129667,-2.418052829
UBE2D3,ENSG00000109332,-2.413915735
GALNT9,ENSG00000182870,-2.412249214
CYP4A11,ENSG00000187048,-2.411453445
NCL,ENSG00000115053,-2.410912639
FDFT1,ENSG00000284967,-2.406499843
FDFT1,ENSG00000079459,-2.406499843
UNC50,ENSG00000115446,-2.405506868
WDR74,ENSG00000133316,-2.404355226
FH,ENSG00000091483,-2.404218775
DTWD1,ENSG00000104047,-2.402744583
ISCU,ENSG00000136003,-2.400645719
GC,ENSG00000145321,-2.39337439
ADCY7,ENSG00000121281,-2.393017456
RPLP1,ENSG00000137818,-2.392677998
EIF2S2,ENSG00000125977,-2.388607291
GCNT1,ENSG00000187210,-2.376934262
DHX15,ENSG00000109606,-2.375204321
CHCHD10,ENSG00000273607,-2.374627815
CHCHD10,ENSG00000250479,-2.374627815
SYMPK,ENSG00000125755,-2.37397474
NUP160,ENSG00000030066,-2.373739849
NUP160,ENSG00000285358,-2.373739849
TNS4,ENSG00000131746,-2.373044541
LONRF2,ENSG00000170500,-2.371779282
CCSER2,ENSG00000107771,-2.370242541
RPL11,ENSG00000142676,-2.366436674
RPS8,ENSG00000142937,-2.36579951
DDX47,ENSG00000213782,-2.364247279
CENPE,ENSG00000138778,-2.363343777
NICN1,ENSG00000145029,-2.360230264
RPS17,ENSG00000182774,-2.359558047
RPS17,ENSG00000278229,-2.359558047
PROX2,ENSG00000119608,-2.356841545
ARID1A,ENSG00000117713,-2.353282784
ANGPT1,ENSG00000154188,-2.349435524
NACA2,ENSG00000253506,-2.348705662
ANXA5,ENSG00000164111,-2.347663613
ICK,ENSG00000112144,-2.345926318
SWSAP1,ENSG00000173928,-2.34528777
OSBP,ENSG00000110048,-2.345138626
AP1B1,ENSG00000100280,-2.340413264
PSMD12,ENSG00000197170,-2.339468036
EIF5A,ENSG00000132507,-2.338843434
ISLR2,ENSG00000167178,-2.33337423
RUVBL1,ENSG00000175792,-2.333005811
GLRX2,ENSG00000023572,-2.331827127
CYB561,ENSG00000008283,-2.331155059
G6PC3,ENSG00000141349,-2.327057255
POLR2E,ENSG00000099817,-2.32425431
NOP53,ENSG00000105373,-2.320492341
DMBT1,ENSG00000187908,-2.319557281
B4GALT1,ENSG00000086062,-2.318680124
FGF8,ENSG00000107831,-2.317350766
FAU,ENSG00000149806,-2.315426085
ZNF154,ENSG00000179909,-2.314213013
TTLL4,ENSG00000135912,-2.311191738
DUSP26,ENSG00000133878,-2.310124408
ALDH7A1,ENSG00000164904,-2.307532689
SRC,ENSG00000197122,-2.306335269
FBN1,ENSG00000166147,-2.306199285
NRAP,ENSG00000197893,-2.303297832
DYNC1H1,ENSG00000197102,-2.300772441
MEGF9,ENSG00000106780,-2.299222313
USP1,ENSG00000162607,-2.296462782
CLSPN,ENSG00000092853,-2.288413306
MSI1,ENSG00000135097,-2.28788069
EXTL1,ENSG00000158008,-2.28491734
FHDC1,ENSG00000137460,-2.283437821
TRMT11,ENSG00000066651,-2.281110496
GARS,ENSG00000106105,-2.280900503
KCNMA1,ENSG00000156113,-2.279664028
GPS1,ENSG00000169727,-2.275130428
BIRC5,ENSG00000089685,-2.270388556
APH1A,ENSG00000117362,-2.267770769
DDX24,ENSG00000089737,-2.266969583
DDX24,ENSG00000273761,-2.266969583
NDEL1,ENSG00000166579,-2.266817879
PPM1A,ENSG00000100614,-2.265822504
TMEM17,ENSG00000186889,-2.264371244
ALDOB,ENSG00000136872,-2.260562142
CSNK2B,ENSG00000224398,-2.260113088
CSNK2B,ENSG00000204435,-2.260113088
CSNK2B,ENSG00000228875,-2.260113088
CSNK2B,ENSG00000232960,-2.260113088
CSNK2B,ENSG00000206406,-2.260113088
CSNK2B,ENSG00000224774,-2.260113088
CSNK2B,ENSG00000230700,-2.260113088
RUVBL2,ENSG00000183207,-2.256730769
MAEL,ENSG00000143194,-2.245726172
SNRPC,ENSG00000124562,-2.244066862
FCER2,ENSG00000104921,-2.243481923
DONSON,ENSG00000159147,-2.243239534
CDHR5,ENSG00000273572,-2.242418332
CDHR5,ENSG00000099834,-2.242418332
CCT6A,ENSG00000146731,-2.242112011
CDC45,ENSG00000093009,-2.236223186
YBX1,ENSG00000065978,-2.235015927
EIF3G,ENSG00000130811,-2.23377686
CLTC,ENSG00000141367,-2.232905502
LSM8,ENSG00000128534,-2.232631041
ASPN,ENSG00000106819,-2.232302265
FOSL2,ENSG00000075426,-2.230991247
CDC42,ENSG00000070831,-2.228743234
ODC1,ENSG00000115758,-2.227166134
CDX1,ENSG00000113722,-2.226065989
STX6,ENSG00000135823,-2.224126735
HBZ,ENSG00000130656,-2.222872538
NUTF2,ENSG00000102898,-2.220496302
PRPF4B,ENSG00000112739,-2.220107865
CPZ,ENSG00000109625,-2.219701873
GDE1,ENSG00000006007,-2.219680233
TLN1,ENSG00000137076,-2.218424294
HSPA9,ENSG00000113013,-2.216451165
RSL24D1,ENSG00000137876,-2.215412508
CXCR6,ENSG00000172215,-2.214275186
MMP24,ENSG00000125966,-2.214045693
SMC1A,ENSG00000072501,-2.211815229
MFAP1,ENSG00000140259,-2.208149797
GNPDA1,ENSG00000113552,-2.208013713
PTPN14,ENSG00000152104,-2.207858399
BBX,ENSG00000114439,-2.203743281
SUPT6H,ENSG00000109111,-2.201954987
NDC80,ENSG00000080986,-2.201678973
COQ6,ENSG00000119723,-2.200916115
EIF1AX,ENSG00000173674,-2.200143565
SBNO1,ENSG00000139697,-2.197266966
ACSL3,ENSG00000123983,-2.196761989
PSMB1,ENSG00000008018,-2.195835224
KRT28,ENSG00000173908,-2.194650938
RPA3,ENSG00000106399,-2.19440909
DDX56,ENSG00000136271,-2.193966775
GPT,ENSG00000167701,-2.193879525
STAG1,ENSG00000118007,-2.193244278
RPL13,ENSG00000167526,-2.192912519
GNG4,ENSG00000168243,-2.190542004
PABPN1,ENSG00000100836,-2.188389211
CYP39A1,ENSG00000146233,-2.186706045
VSTM2A,ENSG00000170419,-2.186610112
DEGS2,ENSG00000168350,-2.185408131
SCFD1,ENSG00000092108,-2.18269912
MRGPRE,ENSG00000184350,-2.18266857
GPR26,ENSG00000154478,-2.179381787
PLXDC2,ENSG00000120594,-2.170913604
MTMR4,ENSG00000108389,-2.170002432
SCN7A,ENSG00000136546,-2.169713492
GCNA,ENSG00000147174,-2.166856207
TEX30,ENSG00000151287,-2.165916555
C9orf16,ENSG00000171159,-2.163653721
BDKRB2,ENSG00000168398,-2.161545752
SLC38A2,ENSG00000134294,-2.160589004
PSMB4,ENSG00000159377,-2.158456673
AQP8,ENSG00000103375,-2.156826628
DGAT1,ENSG00000185000,-2.154727922
DGAT1,ENSG00000285482,-2.154727922
SLC35G5,ENSG00000285084,-2.154719904
SLC35G5,ENSG00000177710,-2.154719904
AOAH,ENSG00000136250,-2.154437736
HCFC1,ENSG00000172534,-2.153477269
BCL7A,ENSG00000110987,-2.153108549
DMAP1,ENSG00000178028,-2.152701488
NIN,ENSG00000100503,-2.152489733
ORM1,ENSG00000229314,-2.152065972
SMNDC1,ENSG00000119953,-2.150931947
MAB21L1,ENSG00000180660,-2.149621281
DUOX2,ENSG00000140279,-2.148606589
ITSN2,ENSG00000198399,-2.145158618
NUP62,ENSG00000213024,-2.145120731
TMEM88,ENSG00000167874,-2.143386876
ACTA1,ENSG00000143632,-2.142929598
EMILIN3,ENSG00000183798,-2.142039293
WEE1,ENSG00000166483,-2.139475565
DDX27,ENSG00000124228,-2.13896841
FBLN1,ENSG00000077942,-2.138607876
POLA2,ENSG00000014138,-2.134850578
CRYZ,ENSG00000116791,-2.134722298
DNM2,ENSG00000079805,-2.133829614
CLTA,ENSG00000122705,-2.133499395
SLC19A2,ENSG00000117479,-2.132176828
SDS,ENSG00000135094,-2.131022068
DPH7,ENSG00000148399,-2.130145554
NKAP,ENSG00000101882,-2.129887363
TUBGCP6,ENSG00000128159,-2.129865594
HTR2A,ENSG00000102468,-2.129789227
HDAC7,ENSG00000061273,-2.129061194
TSG101,ENSG00000074319,-2.127919035
OGFOD1,ENSG00000087263,-2.126732433
DNER,ENSG00000187957,-2.126120611
SPAG6,ENSG00000077327,-2.125381978
AP2S1,ENSG00000042753,-2.123179107
FMR1,ENSG00000102081,-2.123018957
DDX46,ENSG00000145833,-2.120535069
ZXDA,ENSG00000198205,-2.119259899
ADGRG4,ENSG00000156920,-2.118460766
CENPC,ENSG00000145241,-2.117009358
PRELID3A,ENSG00000141391,-2.115683492
EBNA1BP2,ENSG00000117395,-2.114055421
TRPM7,ENSG00000092439,-2.113401082
PXYLP1,ENSG00000155893,-2.112957119
NEDD1,ENSG00000139350,-2.112210893
PSMB5,ENSG00000100804,-2.108905677
LTV1,ENSG00000135521,-2.108565733
PHC1,ENSG00000111752,-2.108295203
EIF3I,ENSG00000084623,-2.105426368
DRG2,ENSG00000108591,-2.105071107
MZT1,ENSG00000204899,-2.104802532
TCEA3,ENSG00000282941,-2.104153981
TCEA3,ENSG00000204219,-2.104153981
PRKAG3,ENSG00000115592,-2.104141615
C9orf50,ENSG00000179058,-2.103899678
ATF7IP,ENSG00000171681,-2.102475665
SRBD1,ENSG00000068784,-2.100377337
CHMP5,ENSG00000086065,-2.099460426
GABRB1,ENSG00000163288,-2.097784135
SLC7A8,ENSG00000092068,-2.09699037
LRP11,ENSG00000120256,-2.095929871
NSA2,ENSG00000164346,-2.095258592
TBC1D17,ENSG00000104946,-2.095201566
DDX18,ENSG00000088205,-2.094238361
NGDN,ENSG00000129460,-2.092338862
NUP155,ENSG00000113569,-2.088312947
ESPL1,ENSG00000135476,-2.088013005
CNDP1,ENSG00000150656,-2.087875831
HNRNPH1,ENSG00000284254,-2.087476482
HNRNPH1,ENSG00000169045,-2.087476482
POLD3,ENSG00000077514,-2.086801134
FUCA2,ENSG00000001036,-2.08588216
BRCC3,ENSG00000185515,-2.085602656
MED14,ENSG00000180182,-2.085031429
PCDHB5,ENSG00000113209,-2.08374081
ATG7,ENSG00000197548,-2.083561555
AEBP1,ENSG00000106624,-2.082937869
NUP107,ENSG00000111581,-2.081823623
ELK1,ENSG00000126767,-2.080142308
TERF1,ENSG00000147601,-2.079657325
CDH8,ENSG00000150394,-2.077003285
DNTTIP2,ENSG00000067334,-2.074973775
ALYREF,ENSG00000183684,-2.07473673
MCRS1,ENSG00000187778,-2.074238987
ETV3,ENSG00000117036,-2.073942224
PDLIM5,ENSG00000163110,-2.072673161
CDK4,ENSG00000135446,-2.072568967
CDC40,ENSG00000168438,-2.07213438
TAAR5,ENSG00000135569,-2.070494358
RHOBTB3,ENSG00000164292,-2.069120951
GLRX,ENSG00000173221,-2.066303094
DNASE2,ENSG00000105612,-2.065332079
C12orf10,ENSG00000139637,-2.065112523
ATP5PB,ENSG00000116459,-2.06397909
TMCC2,ENSG00000133069,-2.063424021
BUD13,ENSG00000137656,-2.063081597
COL5A3,ENSG00000080573,-2.062348165
EIF3E,ENSG00000104408,-2.059884904
LRTM1,ENSG00000144771,-2.056928556
NRP2,ENSG00000118257,-2.056760729
DNA2,ENSG00000138346,-2.056466699
NUP153,ENSG00000124789,-2.056399813
TXN,ENSG00000136810,-2.055106723
AMPH,ENSG00000078053,-2.054908131
ANAPC5,ENSG00000089053,-2.054735649
PDGFRB,ENSG00000113721,-2.054513851
CENPT,ENSG00000102901,-2.053645218
DOK1,ENSG00000115325,-2.052380039
EIF2AK4,ENSG00000128829,-2.049774069
COX6C,ENSG00000164919,-2.045658113
KCNJ6,ENSG00000157542,-2.043000192
PTPN23,ENSG00000076201,-2.040389735
MAGOH,ENSG00000162385,-2.038869062
RNF216,ENSG00000011275,-2.037874999
CHRM4,ENSG00000180720,-2.037679341
RPL13A,ENSG00000142541,-2.036791548
SKA1,ENSG00000262634,-2.036332448
SKA1,ENSG00000154839,-2.036332448
PNN,ENSG00000100941,-2.036281412
BOP1,ENSG00000261236,-2.03499414
NSF,ENSG00000278174,-2.033350642
NSF,ENSG00000073969,-2.033350642
NSF,ENSG00000276262,-2.033350642
ABCB7,ENSG00000131269,-2.03295031
APEX1,ENSG00000100823,-2.031246497
AAMP,ENSG00000127837,-2.029366605
UBAP1,ENSG00000165006,-2.027003908
COG4,ENSG00000103051,-2.026799803
DGKA,ENSG00000065357,-2.025941326
PXK,ENSG00000168297,-2.025932801
SART3,ENSG00000075856,-2.02238945
MTCH2,ENSG00000109919,-2.020994166
MTCH2,ENSG00000285121,-2.020994166
ORC3,ENSG00000135336,-2.020690256
GBA,ENSG00000262446,-2.020370443
GBA,ENSG00000177628,-2.020370443
CAMLG,ENSG00000164615,-2.020107954
FMOD,ENSG00000122176,-2.019593877
DACT3,ENSG00000197380,-2.01936173
PRPF6,ENSG00000101161,-2.018448307
VWA3B,ENSG00000168658,-2.018249844
BMS1,ENSG00000165733,-2.014480287
3-Sep,ENSG00000100167,-2.014131862
DNMT3B,ENSG00000088305,-2.013775919
KCNA5,ENSG00000130037,-2.013377648
MYLIP,ENSG00000007944,-2.013211485
FAM83A,ENSG00000147689,-2.011364959
TH,ENSG00000180176,-2.009330908
WDR12,ENSG00000138442,-2.00813257
IREB2,ENSG00000136381,-2.004703825
RFC1,ENSG00000035928,-2.003052226
C12orf66,ENSG00000174206,-2.000566336
TM2D3,ENSG00000184277,-1.99977354
2-Sep,ENSG00000168385,-1.999149866
SSU72,ENSG00000160075,-1.997757668
LSM2,ENSG00000225998,-1.997230324
LSM2,ENSG00000231502,-1.997230324
LSM2,ENSG00000236826,-1.997230324
LSM2,ENSG00000172850,-1.997230324
LSM2,ENSG00000224979,-1.997230324
LSM2,ENSG00000204392,-1.997230324
BNIP2,ENSG00000140299,-1.997141447
RECQL5,ENSG00000108469,-1.99488089
GABPB1,ENSG00000104064,-1.994232756
CCT4,ENSG00000115484,-1.99236688
WDR46,ENSG00000206284,-1.992268041
WDR46,ENSG00000226916,-1.992268041
WDR46,ENSG00000227057,-1.992268041
WDR46,ENSG00000204221,-1.992268041
WDR46,ENSG00000236222,-1.992268041
7-Sep,ENSG00000122545,-1.991377025
CLDN14,ENSG00000159261,-1.990831218
MOGAT3,ENSG00000106384,-1.989911591
BCL11A,ENSG00000119866,-1.989752457
CNP,ENSG00000173786,-1.989618773
RNF19B,ENSG00000116514,-1.988514288
STRIP1,ENSG00000143093,-1.987641136
FLG,ENSG00000143631,-1.987313788
ACOX1,ENSG00000161533,-1.987063269
WARS,ENSG00000140105,-1.986296111
PKP1,ENSG00000081277,-1.986248262
NCBP1,ENSG00000136937,-1.986077106
NUFIP1,ENSG00000083635,-1.98581077
C9orf66,ENSG00000183784,-1.984717775
INTS9,ENSG00000104299,-1.983432693
COLEC10,ENSG00000184374,-1.981678892
TMEM229B,ENSG00000198133,-1.981241113
ARR3,ENSG00000120500,-1.980697323
HIC1,ENSG00000177374,-1.980267808
SLFN12,ENSG00000172123,-1.980167046
GGNBP2,ENSG00000278311,-1.979224926
GGNBP2,ENSG00000275099,-1.979224926
CCDC114,ENSG00000105479,-1.977945737
DLD,ENSG00000091140,-1.976969258
ZCCHC9,ENSG00000131732,-1.976928686
CHRM1,ENSG00000168539,-1.976108859
FAM199X,ENSG00000123575,-1.9752297
KCNE2,ENSG00000159197,-1.975227798
GFRA3,ENSG00000146013,-1.97392818
DRG1,ENSG00000185721,-1.973888137
SPTLC1,ENSG00000090054,-1.971590744
GNB3,ENSG00000111664,-1.969134339
SETBP1,ENSG00000152217,-1.968503137
NOM1,ENSG00000146909,-1.965881532
ADGRE5,ENSG00000123146,-1.964693077
PELI2,ENSG00000139946,-1.964666535
KMT2D,ENSG00000167548,-1.962284689
WLS,ENSG00000116729,-1.961867045
FAM107B,ENSG00000065809,-1.96182706
RPAP2,ENSG00000122484,-1.961625533
GBF1,ENSG00000107862,-1.961404901
SLC26A5,ENSG00000170615,-1.95948946
EARS2,ENSG00000103356,-1.959440399
GCH1,ENSG00000131979,-1.957998869
ARIH1,ENSG00000166233,-1.956482543
