"","seqnames","start","end","width","strand","score","pct_cons","peak","feature","feature.ranges.start","feature.ranges.end","feature.ranges.width","feature.strand","distance","insideFeature","distanceToSite","symbol","genename"
"window_482.1","chr1",1202500,1212500,10001,"*",72,28.5714285714286,"window_482","7293",1211340,1214153,2814,"-",0,"overlapEnd",1652,"TNFRSF4","TNF receptor superfamily member 4"
"window_483","chr1",1205000,1215000,10001,"*",73,28.968253968254,"window_483","8784",1203508,1206592,3085,"-",0,"overlapStart",0,"TNFRSF18","TNF receptor superfamily member 18"
"window_483.1","chr1",1205000,1215000,10001,"*",73,28.968253968254,"window_483","7293",1211340,1214153,2814,"-",0,"includeFeature",0,"TNFRSF4","TNF receptor superfamily member 4"
"window_510","chr1",1272500,1282500,10001,"*",74,29.3650793650794,"window_510","118424",1253909,1273885,19977,"-",0,"overlapStart",0,"UBE2J2","ubiquitin conjugating enzyme E2 J2"
"window_510.1","chr1",1272500,1282500,10001,"*",74,29.3650793650794,"window_510","6339",1280436,1292029,11594,"+",0,"overlapStart",0,"SCNN1D","sodium channel epithelial 1 subunit delta"
"window_511","chr1",1275000,1285000,10001,"*",68,26.984126984127,"window_511","118424",1253909,1273885,19977,"-",1114,"upstream",1114,"UBE2J2","ubiquitin conjugating enzyme E2 J2"
"window_511.1","chr1",1275000,1285000,10001,"*",68,26.984126984127,"window_511","6339",1280436,1292029,11594,"+",0,"overlapStart",0,"SCNN1D","sodium channel epithelial 1 subunit delta"
"window_567","chr1",1415000,1425000,10001,"*",56,22.2222222222222,"window_567","441869",1418420,1421769,3350,"-",0,"includeFeature",0,"ANKRD65","ankyrin repeat domain 65"
"window_567.1","chr1",1415000,1425000,10001,"*",56,22.2222222222222,"window_567","643965",1426128,1427787,1660,"+",1127,"upstream",1127,"TMEM88B","transmembrane protein 88B"
"window_568","chr1",1417500,1427500,10001,"*",65,25.7936507936508,"window_568","441869",1418420,1421769,3350,"-",0,"includeFeature",0,"ANKRD65","ankyrin repeat domain 65"
"window_568.1","chr1",1417500,1427500,10001,"*",65,25.7936507936508,"window_568","643965",1426128,1427787,1660,"+",0,"overlapStart",0,"TMEM88B","transmembrane protein 88B"
"window_569","chr1",1420000,1430000,10001,"*",71,28.1746031746032,"window_569","441869",1418420,1421769,3350,"-",0,"overlapStart",0,"ANKRD65","ankyrin repeat domain 65"
"window_569.1","chr1",1420000,1430000,10001,"*",71,28.1746031746032,"window_569","643965",1426128,1427787,1660,"+",0,"includeFeature",0,"TMEM88B","transmembrane protein 88B"
"window_570","chr1",1422500,1432500,10001,"*",72,28.5714285714286,"window_570","441869",1418420,1421769,3350,"-",730,"upstream",730,"ANKRD65","ankyrin repeat domain 65"
"window_570.1","chr1",1422500,1432500,10001,"*",72,28.5714285714286,"window_570","643965",1426128,1427787,1660,"+",0,"includeFeature",0,"TMEM88B","transmembrane protein 88B"
"window_570.2","chr1",1422500,1432500,10001,"*",72,28.5714285714286,"window_570","102724312",1430539,1434573,4035,"-",0,"overlapEnd",2072,"LINC01770","long intergenic non-protein coding RNA 1770"
"window_570.3","chr1",1422500,1432500,10001,"*",72,28.5714285714286,"window_570","64856",1434861,1442882,8022,"+",2360,"upstream",2360,"VWA1","von Willebrand factor A domain containing 1"
"window_571","chr1",1425000,1435000,10001,"*",71,28.1746031746032,"window_571","643965",1426128,1427787,1660,"+",0,"includeFeature",0,"TMEM88B","transmembrane protein 88B"
"window_571.1","chr1",1425000,1435000,10001,"*",71,28.1746031746032,"window_571","102724312",1430539,1434573,4035,"-",0,"includeFeature",0,"LINC01770","long intergenic non-protein coding RNA 1770"
"window_571.2","chr1",1425000,1435000,10001,"*",71,28.1746031746032,"window_571","64856",1434861,1442882,8022,"+",0,"overlapStart",0,"VWA1","von Willebrand factor A domain containing 1"
"window_572","chr1",1427500,1437500,10001,"*",59,23.4126984126984,"window_572","643965",1426128,1427787,1660,"+",0,"overlapEnd",1371,"TMEM88B","transmembrane protein 88B"
"window_572.1","chr1",1427500,1437500,10001,"*",59,23.4126984126984,"window_572","102724312",1430539,1434573,4035,"-",0,"includeFeature",0,"LINC01770","long intergenic non-protein coding RNA 1770"
"window_572.2","chr1",1427500,1437500,10001,"*",59,23.4126984126984,"window_572","64856",1434861,1442882,8022,"+",0,"overlapStart",0,"VWA1","von Willebrand factor A domain containing 1"
"window_587","chr1",1465000,1475000,10001,"*",59,23.4126984126984,"window_587","83858",1471765,1497848,26084,"+",0,"overlapStart",0,"ATAD3B","ATPase family AAA domain containing 3B"
"window_590","chr1",1472500,1482500,10001,"*",68,26.984126984127,"window_590","83858",1471765,1497848,26084,"+",0,"inside",734,"ATAD3B","ATPase family AAA domain containing 3B"
"window_601","chr1",1500000,1510000,10001,"*",70,27.7777777777778,"window_601","55210",1512162,1534685,22524,"+",2161,"upstream",2161,"ATAD3A","ATPase family AAA domain containing 3A"
"window_602","chr1",1502500,1512500,10001,"*",70,27.7777777777778,"window_602","55210",1512162,1534685,22524,"+",0,"overlapStart",0,"ATAD3A","ATPase family AAA domain containing 3A"
"window_603","chr1",1505000,1515000,10001,"*",54,21.4285714285714,"window_603","55210",1512162,1534685,22524,"+",0,"overlapStart",0,"ATAD3A","ATPase family AAA domain containing 3A"
"window_604","chr1",1507500,1517500,10001,"*",62,24.6031746031746,"window_604","55210",1512162,1534685,22524,"+",0,"overlapStart",0,"ATAD3A","ATPase family AAA domain containing 3A"
"window_605","chr1",1510000,1520000,10001,"*",66,26.1904761904762,"window_605","55210",1512162,1534685,22524,"+",0,"overlapStart",0,"ATAD3A","ATPase family AAA domain containing 3A"
"window_606","chr1",1512500,1522500,10001,"*",53,21.031746031746,"window_606","55210",1512162,1534685,22524,"+",0,"inside",337,"ATAD3A","ATPase family AAA domain containing 3A"
"window_607","chr1",1515000,1525000,10001,"*",53,21.031746031746,"window_607","55210",1512162,1534685,22524,"+",0,"inside",2837,"ATAD3A","ATPase family AAA domain containing 3A"
"window_632","chr1",1577500,1587500,10001,"*",57,22.6190476190476,"window_632","29101",1541673,1574863,33191,"-",2636,"upstream",2636,"SSU72","SSU72 homolog, RNA polymerase II CTD phosphatase"
"window_640","chr1",1597500,1607500,10001,"*",60,23.8095238095238,"window_640","105378586",1600314,1602703,2390,"+",0,"includeFeature",0,"LOC105378586","uncharacterized LOC105378586"
"window_640.1","chr1",1597500,1607500,10001,"*",60,23.8095238095238,"window_640","643988",1598012,1600135,2124,"-",0,"includeFeature",0,"FNDC10","fibronectin type III domain containing 10"
"window_642","chr1",1602500,1612500,10001,"*",56,22.2222222222222,"window_642","105378586",1600314,1602703,2390,"+",0,"overlapEnd",2185,"LOC105378586","uncharacterized LOC105378586"
"window_642.1","chr1",1602500,1612500,10001,"*",56,22.2222222222222,"window_642","643988",1598012,1600135,2124,"-",2364,"upstream",2364,"FNDC10","fibronectin type III domain containing 10"
"window_642.2","chr1",1602500,1612500,10001,"*",56,22.2222222222222,"window_642","142678",1615415,1630610,15196,"+",2914,"upstream",2914,"MIB2","mindbomb E3 ubiquitin protein ligase 2"
"window_653","chr1",1630000,1640000,10001,"*",68,26.984126984127,"window_653","8510",1632163,1635263,3101,"+",0,"includeFeature",0,"MMP23B","matrix metallopeptidase 23B"
"window_653.1","chr1",1630000,1640000,10001,"*",68,26.984126984127,"window_653","8511",1632783,1701782,69000,"+",0,"overlapStart",0,"MMP23A","matrix metallopeptidase 23A (pseudogene)"
"window_661","chr1",1650000,1660000,10001,"*",68,26.984126984127,"window_661","984",1635227,1659012,23786,"-",0,"overlapStart",0,"CDK11B","cyclin dependent kinase 11B"
"window_662","chr1",1652500,1662500,10001,"*",58,23.015873015873,"window_662","984",1635227,1659012,23786,"-",0,"overlapStart",0,"CDK11B","cyclin dependent kinase 11B"
"window_675","chr1",1685000,1695000,10001,"*",60,23.8095238095238,"window_675","728661",1659529,1692795,33267,"-",0,"overlapStart",0,"SLC35E2B","solute carrier family 35 member E2B"
"window_691","chr1",1725000,1735000,10001,"*",65,25.7936507936508,"window_691","728642",1702379,1737688,35310,"-",0,"inside",2687,"CDK11A","cyclin dependent kinase 11A"
"window_692","chr1",1727500,1737500,10001,"*",53,21.031746031746,"window_692","728642",1702379,1737688,35310,"-",0,"inside",187,"CDK11A","cyclin dependent kinase 11A"
"window_708","chr1",1767500,1777500,10001,"*",68,26.984126984127,"window_708","65220",1751232,1780457,29226,"-",0,"inside",2956,"NADK","NAD kinase"
"window_762","chr1",1902500,1912500,10001,"*",75,29.7619047619048,"window_762","163688",1915108,1917296,2189,"+",2607,"upstream",2607,"CALML6","calmodulin like 6"
"window_763","chr1",1905000,1915000,10001,"*",75,29.7619047619048,"window_763","163688",1915108,1917296,2189,"+",107,"upstream",107,"CALML6","calmodulin like 6"
"window_764","chr1",1907500,1917500,10001,"*",63,25,"window_764","163688",1915108,1917296,2189,"+",0,"includeFeature",0,"CALML6","calmodulin like 6"
"window_765","chr1",1910000,1920000,10001,"*",52,20.6349206349206,"window_765","163688",1915108,1917296,2189,"+",0,"includeFeature",0,"CALML6","calmodulin like 6"
"window_765.1","chr1",1910000,1920000,10001,"*",52,20.6349206349206,"window_765","339456",1917590,1919279,1690,"-",0,"includeFeature",0,"TMEM52","transmembrane protein 52"
"window_818","chr1",2042500,2052500,10001,"*",54,21.4285714285714,"window_818","5590",2050411,2185395,134985,"+",0,"overlapStart",0,"PRKCZ","protein kinase C zeta"
"window_818.1","chr1",2042500,2052500,10001,"*",54,21.4285714285714,"window_818","105378591",2049203,2050070,868,"-",0,"includeFeature",0,"LOC105378591","uncharacterized LOC105378591"
"window_819","chr1",2045000,2055000,10001,"*",54,21.4285714285714,"window_819","5590",2050411,2185395,134985,"+",0,"overlapStart",0,"PRKCZ","protein kinase C zeta"
"window_819.1","chr1",2045000,2055000,10001,"*",54,21.4285714285714,"window_819","105378591",2049203,2050070,868,"-",0,"includeFeature",0,"LOC105378591","uncharacterized LOC105378591"
"window_820","chr1",2047500,2057500,10001,"*",56,22.2222222222222,"window_820","5590",2050411,2185395,134985,"+",0,"overlapStart",0,"PRKCZ","protein kinase C zeta"
"window_820.1","chr1",2047500,2057500,10001,"*",56,22.2222222222222,"window_820","105378591",2049203,2050070,868,"-",0,"includeFeature",0,"LOC105378591","uncharacterized LOC105378591"
"window_821","chr1",2050000,2060000,10001,"*",59,23.4126984126984,"window_821","5590",2050411,2185395,134985,"+",0,"overlapStart",0,"PRKCZ","protein kinase C zeta"
"window_821.1","chr1",2050000,2060000,10001,"*",59,23.4126984126984,"window_821","105378591",2049203,2050070,868,"-",0,"overlapStart",0,"LOC105378591","uncharacterized LOC105378591"
"window_822","chr1",2052500,2062500,10001,"*",55,21.8253968253968,"window_822","5590",2050411,2185395,134985,"+",0,"inside",2088,"PRKCZ","protein kinase C zeta"
"window_822.1","chr1",2052500,2062500,10001,"*",55,21.8253968253968,"window_822","105378591",2049203,2050070,868,"-",2429,"upstream",2429,"LOC105378591","uncharacterized LOC105378591"
"window_1379","chr1",3445000,3455000,10001,"*",72,28.5714285714286,"window_1379","27237",3454665,3481113,26449,"+",0,"overlapStart",0,"ARHGEF16","Rho guanine nucleotide exchange factor 16"
"window_1446","chr1",3612500,3622500,10001,"*",54,21.4285714285714,"window_1446","1953",3487951,3611508,123558,"-",991,"upstream",991,"MEGF6","multiple EGF like domains 6"
"window_1446.1","chr1",3612500,3622500,10001,"*",54,21.4285714285714,"window_1446","127262",3625015,3630127,5113,"+",2514,"upstream",2514,"TPRG1L","tumor protein p63 regulated 1 like"
"window_1447","chr1",3615000,3625000,10001,"*",75,29.7619047619048,"window_1447","127262",3625015,3630127,5113,"+",14,"upstream",14,"TPRG1L","tumor protein p63 regulated 1 like"
"window_1457","chr1",3640000,3650000,10001,"*",55,21.8253968253968,"window_1457","7161",3652516,3736201,83686,"+",2515,"upstream",2515,"TP73","tumor protein p73"
"window_1457.1","chr1",3640000,3650000,10001,"*",55,21.8253968253968,"window_1457","49856",3630767,3652761,21995,"-",0,"inside",2760,"WRAP73","WD repeat containing, antisense to TP73"
"window_1458","chr1",3642500,3652500,10001,"*",56,22.2222222222222,"window_1458","7161",3652516,3736201,83686,"+",15,"upstream",15,"TP73","tumor protein p73"
"window_1458.1","chr1",3642500,3652500,10001,"*",56,22.2222222222222,"window_1458","49856",3630767,3652761,21995,"-",0,"inside",260,"WRAP73","WD repeat containing, antisense to TP73"
"window_1459","chr1",3645000,3655000,10001,"*",55,21.8253968253968,"window_1459","7161",3652516,3736201,83686,"+",0,"overlapStart",0,"TP73","tumor protein p73"
"window_1459.1","chr1",3645000,3655000,10001,"*",55,21.8253968253968,"window_1459","49856",3630767,3652761,21995,"-",0,"overlapStart",0,"WRAP73","WD repeat containing, antisense to TP73"
"window_1460","chr1",3647500,3657500,10001,"*",60,23.8095238095238,"window_1460","7161",3652516,3736201,83686,"+",0,"overlapStart",0,"TP73","tumor protein p73"
"window_1460.1","chr1",3647500,3657500,10001,"*",60,23.8095238095238,"window_1460","49856",3630767,3652761,21995,"-",0,"overlapStart",0,"WRAP73","WD repeat containing, antisense to TP73"
"window_1461","chr1",3650000,3660000,10001,"*",51,20.2380952380952,"window_1461","7161",3652516,3736201,83686,"+",0,"overlapStart",0,"TP73","tumor protein p73"
"window_1461.1","chr1",3650000,3660000,10001,"*",51,20.2380952380952,"window_1461","49856",3630767,3652761,21995,"-",0,"overlapStart",0,"WRAP73","WD repeat containing, antisense to TP73"
"window_1500","chr1",3747500,3757500,10001,"*",53,21.031746031746,"window_1500","148870",3746460,3771645,25186,"+",0,"inside",1039,"CCDC27","coiled-coil domain containing 27"
"window_1500.1","chr1",3747500,3757500,10001,"*",53,21.031746031746,"window_1500","57212",3735511,3747373,11863,"-",126,"upstream",126,"TP73-AS1","TP73 antisense RNA 1"
"window_1507","chr1",3765000,3775000,10001,"*",71,28.1746031746032,"window_1507","388588",3772761,3775982,3222,"+",0,"overlapStart",0,"SMIM1","small integral membrane protein 1 (Vel blood group)"
"window_1519","chr1",3795000,3805000,10001,"*",74,29.3650793650794,"window_1519","57470",3778559,3796498,17940,"-",0,"overlapStart",0,"LRRC47","leucine rich repeat containing 47"
"window_1540","chr1",3847500,3857500,10001,"*",66,26.1904761904762,"window_1540","9731",3812086,3857214,45129,"-",0,"overlapStart",0,"CEP104","centrosomal protein 104"
"window_1540.1","chr1",3847500,3857500,10001,"*",66,26.1904761904762,"window_1540","1677",3857267,3885429,28163,"+",0,"overlapStart",0,"DFFB","DNA fragmentation factor subunit beta"
"window_1541","chr1",3850000,3860000,10001,"*",70,27.7777777777778,"window_1541","9731",3812086,3857214,45129,"-",0,"overlapStart",0,"CEP104","centrosomal protein 104"
"window_1541.1","chr1",3850000,3860000,10001,"*",70,27.7777777777778,"window_1541","1677",3857267,3885429,28163,"+",0,"overlapStart",0,"DFFB","DNA fragmentation factor subunit beta"
"window_1542","chr1",3852500,3862500,10001,"*",73,28.968253968254,"window_1542","9731",3812086,3857214,45129,"-",0,"overlapStart",0,"CEP104","centrosomal protein 104"
"window_1542.1","chr1",3852500,3862500,10001,"*",73,28.968253968254,"window_1542","1677",3857267,3885429,28163,"+",0,"overlapStart",0,"DFFB","DNA fragmentation factor subunit beta"
"window_1543","chr1",3855000,3865000,10001,"*",70,27.7777777777778,"window_1543","9731",3812086,3857214,45129,"-",0,"overlapStart",0,"CEP104","centrosomal protein 104"
"window_1543.1","chr1",3855000,3865000,10001,"*",70,27.7777777777778,"window_1543","1677",3857267,3885429,28163,"+",0,"overlapStart",0,"DFFB","DNA fragmentation factor subunit beta"
"window_1544","chr1",3857500,3867500,10001,"*",63,25,"window_1544","9731",3812086,3857214,45129,"-",285,"upstream",285,"CEP104","centrosomal protein 104"
"window_1544.1","chr1",3857500,3867500,10001,"*",63,25,"window_1544","1677",3857267,3885429,28163,"+",0,"inside",232,"DFFB","DNA fragmentation factor subunit beta"
"window_1545","chr1",3860000,3870000,10001,"*",52,20.6349206349206,"window_1545","9731",3812086,3857214,45129,"-",2785,"upstream",2785,"CEP104","centrosomal protein 104"
"window_1545.1","chr1",3860000,3870000,10001,"*",52,20.6349206349206,"window_1545","1677",3857267,3885429,28163,"+",0,"inside",2732,"DFFB","DNA fragmentation factor subunit beta"
"window_1556","chr1",3887500,3897500,10001,"*",65,25.7936507936508,"window_1556","339448",3889125,3900293,11169,"-",0,"overlapEnd",2792,"C1orf174","chromosome 1 open reading frame 174"
"window_1556.1","chr1",3887500,3897500,10001,"*",65,25.7936507936508,"window_1556","100133612",3900352,3917225,16874,"+",2851,"upstream",2851,"LINC01134","long intergenic non-protein coding RNA 1134"
"window_2393","chr1",5980000,5990000,10001,"*",53,21.031746031746,"window_2393","8514",5990927,6101193,110267,"+",926,"upstream",926,"KCNAB2","potassium voltage-gated channel subfamily A regulatory beta subunit 2"
"window_2393.1","chr1",5980000,5990000,10001,"*",53,21.031746031746,"window_2393","261734",5862811,5992473,129663,"-",0,"inside",2472,"NPHP4","nephrocystin 4"
"window_2394","chr1",5982500,5992500,10001,"*",69,27.3809523809524,"window_2394","8514",5990927,6101193,110267,"+",0,"overlapStart",0,"KCNAB2","potassium voltage-gated channel subfamily A regulatory beta subunit 2"
"window_2394.1","chr1",5982500,5992500,10001,"*",69,27.3809523809524,"window_2394","261734",5862811,5992473,129663,"-",0,"overlapStart",0,"NPHP4","nephrocystin 4"
"window_2493","chr1",6230000,6240000,10001,"*",54,21.4285714285714,"window_2493","148645",6234692,6239444,4753,"+",0,"includeFeature",0,"LINC00337","long intergenic non-protein coding RNA 337"
"window_2493.1","chr1",6230000,6240000,10001,"*",54,21.4285714285714,"window_2493","23463",6221193,6235972,14780,"-",0,"overlapStart",0,"ICMT","isoprenylcysteine carboxyl methyltransferase"
"window_2495","chr1",6235000,6245000,10001,"*",62,24.6031746031746,"window_2495","148645",6234692,6239444,4753,"+",0,"overlapEnd",307,"LINC00337","long intergenic non-protein coding RNA 337"
"window_2495.1","chr1",6235000,6245000,10001,"*",62,24.6031746031746,"window_2495","23463",6221193,6235972,14780,"-",0,"overlapStart",0,"ICMT","isoprenylcysteine carboxyl methyltransferase"
"window_2495.2","chr1",6235000,6245000,10001,"*",62,24.6031746031746,"window_2495","390992",6244179,6245578,1400,"+",0,"overlapStart",0,"HES3","hes family bHLH transcription factor 3"
"window_2496","chr1",6237500,6247500,10001,"*",70,27.7777777777778,"window_2496","148645",6234692,6239444,4753,"+",0,"overlapEnd",2807,"LINC00337","long intergenic non-protein coding RNA 337"
"window_2496.1","chr1",6237500,6247500,10001,"*",70,27.7777777777778,"window_2496","23463",6221193,6235972,14780,"-",1527,"upstream",1527,"ICMT","isoprenylcysteine carboxyl methyltransferase"
"window_2496.2","chr1",6237500,6247500,10001,"*",70,27.7777777777778,"window_2496","390992",6244179,6245578,1400,"+",0,"includeFeature",0,"HES3","hes family bHLH transcription factor 3"
"window_2506","chr1",6262500,6272500,10001,"*",69,27.3809523809524,"window_2506","387509",6247353,6261098,13746,"-",1401,"upstream",1401,"GPR153","G protein-coupled receptor 153"
"window_2554","chr1",6382500,6392500,10001,"*",58,23.015873015873,"window_2554","11332",6264269,6394391,130123,"-",0,"inside",1890,"ACOT7","acyl-CoA thioesterase 7"
"window_2555","chr1",6385000,6395000,10001,"*",72,28.5714285714286,"window_2555","11332",6264269,6394391,130123,"-",0,"overlapStart",0,"ACOT7","acyl-CoA thioesterase 7"
"window_2557","chr1",6390000,6400000,10001,"*",75,29.7619047619048,"window_2557","11332",6264269,6394391,130123,"-",0,"overlapStart",0,"ACOT7","acyl-CoA thioesterase 7"
"window_2558","chr1",6392500,6402500,10001,"*",72,28.5714285714286,"window_2558","11332",6264269,6394391,130123,"-",0,"overlapStart",0,"ACOT7","acyl-CoA thioesterase 7"
"window_2559","chr1",6395000,6405000,10001,"*",54,21.4285714285714,"window_2559","11332",6264269,6394391,130123,"-",608,"upstream",608,"ACOT7","acyl-CoA thioesterase 7"
"window_2604","chr1",6507500,6517500,10001,"*",70,27.7777777777778,"window_2604","57449",6466092,6520061,53970,"-",0,"inside",2560,"PLEKHG5","pleckstrin homology and RhoGEF domain containing G5"
"window_2605","chr1",6510000,6520000,10001,"*",74,29.3650793650794,"window_2605","57449",6466092,6520061,53970,"-",0,"inside",60,"PLEKHG5","pleckstrin homology and RhoGEF domain containing G5"
"window_2607","chr1",6515000,6525000,10001,"*",72,28.5714285714286,"window_2607","57449",6466092,6520061,53970,"-",0,"overlapStart",0,"PLEKHG5","pleckstrin homology and RhoGEF domain containing G5"
"window_2623","chr1",6555000,6565000,10001,"*",67,26.5873015873016,"window_2623","79707",6521347,6554513,33167,"-",486,"upstream",486,"NOL9","nucleolar protein 9"
"window_2623.1","chr1",6555000,6565000,10001,"*",67,26.5873015873016,"window_2623","80835",6555307,6579755,24449,"+",0,"overlapStart",0,"TAS1R1","taste 1 receptor member 1"
"window_2624","chr1",6557500,6567500,10001,"*",57,22.6190476190476,"window_2624","79707",6521347,6554513,33167,"-",2986,"upstream",2986,"NOL9","nucleolar protein 9"
"window_2624.1","chr1",6557500,6567500,10001,"*",57,22.6190476190476,"window_2624","80835",6555307,6579755,24449,"+",0,"inside",2192,"TAS1R1","taste 1 receptor member 1"
"window_2628","chr1",6567500,6577500,10001,"*",58,23.015873015873,"window_2628","3104",6579994,6589280,9287,"+",2493,"upstream",2493,"ZBTB48","zinc finger and BTB domain containing 48"
"window_2682","chr1",6702500,6712500,10001,"*",67,26.5873015873016,"window_2682","55735",6634168,6701924,67757,"-",575,"upstream",575,"DNAJC11","DnaJ heat shock protein family (Hsp40) member C11"
"window_3115","chr1",7785000,7795000,10001,"*",68,26.984126984127,"window_3115","8863",7784320,7845177,60858,"+",0,"inside",679,"PER3","period circadian regulator 3"
"window_3177","chr1",7940000,7950000,10001,"*",63,25,"window_3177","3604",7915894,7943165,27272,"-",0,"overlapStart",0,"TNFRSF9","TNF receptor superfamily member 9"
"window_3181","chr1",7950000,7960000,10001,"*",54,21.4285714285714,"window_3181","11315",7954291,7985505,31215,"+",0,"overlapStart",0,"PARK7","Parkinsonism associated deglycase"
"window_3367","chr1",8415000,8425000,10001,"*",60,23.8095238095238,"window_3367","102724552",8424645,8435013,10369,"+",0,"overlapStart",0,"RERE-AS1","RERE antisense RNA 1"
"window_3368","chr1",8417500,8427500,10001,"*",57,22.6190476190476,"window_3368","102724552",8424645,8435013,10369,"+",0,"overlapStart",0,"RERE-AS1","RERE antisense RNA 1"
"window_3369","chr1",8420000,8430000,10001,"*",59,23.4126984126984,"window_3369","102724552",8424645,8435013,10369,"+",0,"overlapStart",0,"RERE-AS1","RERE antisense RNA 1"
"window_3370","chr1",8422500,8432500,10001,"*",69,27.3809523809524,"window_3370","102724552",8424645,8435013,10369,"+",0,"overlapStart",0,"RERE-AS1","RERE antisense RNA 1"
