"","seqnames","start","end","width","strand","score","pct_cons","peak","feature","feature.ranges.start","feature.ranges.end","feature.ranges.width","feature.strand","distance","insideFeature","distanceToSite","symbol","genename"
"window_491.1","chr1",1225000,1235000,10001,"*",119,47.2222222222222,"window_491","126792",1232237,1235041,2805,"+",0,"overlapStart",0,"B3GALT6","beta-1,3-galactosyltransferase 6"
"window_497","chr1",1240000,1250000,10001,"*",117,46.4285714285714,"window_497","388581",1242446,1246722,4277,"-",0,"includeFeature",0,"C1QTNF12","C1q and TNF related 12"
"window_498","chr1",1242500,1252500,10001,"*",110,43.6507936507937,"window_498","388581",1242446,1246722,4277,"-",0,"overlapStart",0,"C1QTNF12","C1q and TNF related 12"
"window_499","chr1",1245000,1255000,10001,"*",110,43.6507936507937,"window_499","388581",1242446,1246722,4277,"-",0,"overlapStart",0,"C1QTNF12","C1q and TNF related 12"
"window_500","chr1",1247500,1257500,10001,"*",116,46.031746031746,"window_500","388581",1242446,1246722,4277,"-",777,"upstream",777,"C1QTNF12","C1q and TNF related 12"
"window_512","chr1",1277500,1287500,10001,"*",101,40.0793650793651,"window_512","6339",1280436,1292029,11594,"+",0,"overlapStart",0,"SCNN1D","sodium channel epithelial 1 subunit delta"
"window_513","chr1",1280000,1290000,10001,"*",107,42.4603174603175,"window_513","6339",1280436,1292029,11594,"+",0,"overlapStart",0,"SCNN1D","sodium channel epithelial 1 subunit delta"
"window_514","chr1",1282500,1292500,10001,"*",123,48.8095238095238,"window_514","6339",1280436,1292029,11594,"+",0,"overlapEnd",2063,"SCNN1D","sodium channel epithelial 1 subunit delta"
"window_516","chr1",1287500,1297500,10001,"*",122,48.4126984126984,"window_516","102465434",1296110,1296170,61,"-",0,"includeFeature",0,"MIR6726","microRNA 6726"
"window_517","chr1",1290000,1300000,10001,"*",126,50,"window_517","102465434",1296110,1296170,61,"-",0,"includeFeature",0,"MIR6726","microRNA 6726"
"window_549","chr1",1370000,1380000,10001,"*",108,42.8571428571429,"window_549","54998",1373730,1375495,1766,"-",0,"includeFeature",0,"AURKAIP1","aurora kinase A interacting protein 1"
"window_564","chr1",1407500,1417500,10001,"*",119,47.2222222222222,"window_564","55052",1401909,1407293,5385,"-",206,"upstream",206,"MRPL20","mitochondrial ribosomal protein L20"
"window_613","chr1",1530000,1540000,10001,"*",107,42.4603174603175,"window_613","339453",1534778,1540624,5847,"-",0,"overlapEnd",623,"TMEM240","transmembrane protein 240"
"window_614","chr1",1532500,1542500,10001,"*",114,45.2380952380952,"window_614","339453",1534778,1540624,5847,"-",0,"includeFeature",0,"TMEM240","transmembrane protein 240"
"window_615","chr1",1535000,1545000,10001,"*",124,49.2063492063492,"window_615","339453",1534778,1540624,5847,"-",0,"overlapStart",0,"TMEM240","transmembrane protein 240"
"window_616","chr1",1537500,1547500,10001,"*",123,48.8095238095238,"window_616","339453",1534778,1540624,5847,"-",0,"overlapStart",0,"TMEM240","transmembrane protein 240"
"window_617","chr1",1540000,1550000,10001,"*",123,48.8095238095238,"window_617","339453",1534778,1540624,5847,"-",0,"overlapStart",0,"TMEM240","transmembrane protein 240"
"window_626","chr1",1562500,1572500,10001,"*",107,42.4603174603175,"window_626","29101",1541673,1574863,33191,"-",0,"inside",2362,"SSU72","SSU72 homolog, RNA polymerase II CTD phosphatase"
"window_639","chr1",1595000,1605000,10001,"*",103,40.8730158730159,"window_639","105378586",1600314,1602703,2390,"+",0,"includeFeature",0,"LOC105378586","uncharacterized LOC105378586"
"window_639.1","chr1",1595000,1605000,10001,"*",103,40.8730158730159,"window_639","643988",1598012,1600135,2124,"-",0,"includeFeature",0,"FNDC10","fibronectin type III domain containing 10"
"window_643","chr1",1605000,1615000,10001,"*",101,40.0793650793651,"window_643","142678",1615415,1630610,15196,"+",414,"upstream",414,"MIB2","mindbomb E3 ubiquitin protein ligase 2"
"window_644","chr1",1607500,1617500,10001,"*",114,45.2380952380952,"window_644","142678",1615415,1630610,15196,"+",0,"overlapStart",0,"MIB2","mindbomb E3 ubiquitin protein ligase 2"
"window_645","chr1",1610000,1620000,10001,"*",119,47.2222222222222,"window_645","142678",1615415,1630610,15196,"+",0,"overlapStart",0,"MIB2","mindbomb E3 ubiquitin protein ligase 2"
"window_646","chr1",1612500,1622500,10001,"*",122,48.4126984126984,"window_646","142678",1615415,1630610,15196,"+",0,"overlapStart",0,"MIB2","mindbomb E3 ubiquitin protein ligase 2"
"window_647","chr1",1615000,1625000,10001,"*",121,48.015873015873,"window_647","142678",1615415,1630610,15196,"+",0,"overlapStart",0,"MIB2","mindbomb E3 ubiquitin protein ligase 2"
"window_648","chr1",1617500,1627500,10001,"*",106,42.0634920634921,"window_648","142678",1615415,1630610,15196,"+",0,"inside",2084,"MIB2","mindbomb E3 ubiquitin protein ligase 2"
"window_649","chr1",1620000,1630000,10001,"*",104,41.2698412698413,"window_649","8510",1632163,1635263,3101,"+",2162,"upstream",2162,"MMP23B","matrix metallopeptidase 23B"
"window_649.1","chr1",1620000,1630000,10001,"*",104,41.2698412698413,"window_649","8511",1632783,1701782,69000,"+",2782,"upstream",2782,"MMP23A","matrix metallopeptidase 23A (pseudogene)"
"window_650","chr1",1622500,1632500,10001,"*",101,40.0793650793651,"window_650","8510",1632163,1635263,3101,"+",0,"overlapStart",0,"MMP23B","matrix metallopeptidase 23B"
"window_650.1","chr1",1622500,1632500,10001,"*",101,40.0793650793651,"window_650","8511",1632783,1701782,69000,"+",282,"upstream",282,"MMP23A","matrix metallopeptidase 23A (pseudogene)"
"window_699","chr1",1745000,1755000,10001,"*",116,46.031746031746,"window_699","9906",1724838,1745999,21162,"-",0,"overlapStart",0,"SLC35E2A","solute carrier family 35 member E2A"
"window_700","chr1",1747500,1757500,10001,"*",125,49.6031746031746,"window_700","9906",1724838,1745999,21162,"-",1500,"upstream",1500,"SLC35E2A","solute carrier family 35 member E2A"
"window_714","chr1",1782500,1792500,10001,"*",121,48.015873015873,"window_714","65220",1751232,1780457,29226,"-",2042,"upstream",2042,"NADK","NAD kinase"
"window_758","chr1",1892500,1902500,10001,"*",125,49.6031746031746,"window_758","2782",1785285,1891117,105833,"-",1382,"upstream",1382,"GNB1","G protein subunit beta 1"
"window_883","chr1",2205000,2215000,10001,"*",123,48.8095238095238,"window_883","199990",2184461,2212720,28260,"-",0,"overlapStart",0,"FAAP20","FA core complex associated protein 20"
"window_884","chr1",2207500,2217500,10001,"*",118,46.8253968253968,"window_884","199990",2184461,2212720,28260,"-",0,"overlapStart",0,"FAAP20","FA core complex associated protein 20"
"window_967","chr1",2415000,2425000,10001,"*",110,43.6507936507937,"window_967","5192",2403964,2413797,9834,"-",1202,"upstream",1202,"PEX10","peroxisomal biogenesis factor 10"
"window_1450","chr1",3622500,3632500,10001,"*",104,41.2698412698413,"window_1450","127262",3625015,3630127,5113,"+",0,"includeFeature",0,"TPRG1L","tumor protein p63 regulated 1 like"
"window_1451","chr1",3625000,3635000,10001,"*",120,47.6190476190476,"window_1451","127262",3625015,3630127,5113,"+",0,"includeFeature",0,"TPRG1L","tumor protein p63 regulated 1 like"
"window_1452","chr1",3627500,3637500,10001,"*",108,42.8571428571429,"window_1452","127262",3625015,3630127,5113,"+",0,"overlapEnd",2484,"TPRG1L","tumor protein p63 regulated 1 like"
"window_1495","chr1",3735000,3745000,10001,"*",109,43.2539682539683,"window_1495","148870",3746460,3771645,25186,"+",1459,"upstream",1459,"CCDC27","coiled-coil domain containing 27"
"window_1495.1","chr1",3735000,3745000,10001,"*",109,43.2539682539683,"window_1495","57212",3735511,3747373,11863,"-",0,"overlapEnd",2372,"TP73-AS1","TP73 antisense RNA 1"
"window_1496","chr1",3737500,3747500,10001,"*",103,40.8730158730159,"window_1496","148870",3746460,3771645,25186,"+",0,"overlapStart",0,"CCDC27","coiled-coil domain containing 27"
"window_1496.1","chr1",3737500,3747500,10001,"*",103,40.8730158730159,"window_1496","57212",3735511,3747373,11863,"-",0,"overlapStart",0,"TP73-AS1","TP73 antisense RNA 1"
"window_1515","chr1",3785000,3795000,10001,"*",120,47.6190476190476,"window_1515","57470",3778559,3796498,17940,"-",0,"inside",1497,"LRRC47","leucine rich repeat containing 47"
"window_1518","chr1",3792500,3802500,10001,"*",109,43.2539682539683,"window_1518","57470",3778559,3796498,17940,"-",0,"overlapStart",0,"LRRC47","leucine rich repeat containing 47"
"window_1558","chr1",3892500,3902500,10001,"*",114,45.2380952380952,"window_1558","339448",3889125,3900293,11169,"-",0,"overlapStart",0,"C1orf174","chromosome 1 open reading frame 174"
"window_1558.1","chr1",3892500,3902500,10001,"*",114,45.2380952380952,"window_1558","100133612",3900352,3917225,16874,"+",0,"overlapStart",0,"LINC01134","long intergenic non-protein coding RNA 1134"
"window_1559","chr1",3895000,3905000,10001,"*",119,47.2222222222222,"window_1559","339448",3889125,3900293,11169,"-",0,"overlapStart",0,"C1orf174","chromosome 1 open reading frame 174"
"window_1559.1","chr1",3895000,3905000,10001,"*",119,47.2222222222222,"window_1559","100133612",3900352,3917225,16874,"+",0,"overlapStart",0,"LINC01134","long intergenic non-protein coding RNA 1134"
"window_1560","chr1",3897500,3907500,10001,"*",119,47.2222222222222,"window_1560","339448",3889125,3900293,11169,"-",0,"overlapStart",0,"C1orf174","chromosome 1 open reading frame 174"
"window_1560.1","chr1",3897500,3907500,10001,"*",119,47.2222222222222,"window_1560","100133612",3900352,3917225,16874,"+",0,"overlapStart",0,"LINC01134","long intergenic non-protein coding RNA 1134"
"window_1561","chr1",3900000,3910000,10001,"*",120,47.6190476190476,"window_1561","339448",3889125,3900293,11169,"-",0,"overlapStart",0,"C1orf174","chromosome 1 open reading frame 174"
"window_1561.1","chr1",3900000,3910000,10001,"*",120,47.6190476190476,"window_1561","100133612",3900352,3917225,16874,"+",0,"overlapStart",0,"LINC01134","long intergenic non-protein coding RNA 1134"
"window_2398","chr1",5992500,6002500,10001,"*",104,41.2698412698413,"window_2398","8514",5990927,6101193,110267,"+",0,"inside",1572,"KCNAB2","potassium voltage-gated channel subfamily A regulatory beta subunit 2"
"window_2398.1","chr1",5992500,6002500,10001,"*",104,41.2698412698413,"window_2398","261734",5862811,5992473,129663,"-",26,"upstream",26,"NPHP4","nephrocystin 4"
"window_2468","chr1",6167500,6177500,10001,"*",114,45.2380952380952,"window_2468","26038",6101787,6180321,78535,"-",0,"inside",2820,"CHD5","chromodomain helicase DNA binding protein 5"
"window_2469","chr1",6170000,6180000,10001,"*",115,45.6349206349206,"window_2469","26038",6101787,6180321,78535,"-",0,"inside",320,"CHD5","chromodomain helicase DNA binding protein 5"
"window_2470","chr1",6172500,6182500,10001,"*",114,45.2380952380952,"window_2470","26038",6101787,6180321,78535,"-",0,"overlapStart",0,"CHD5","chromodomain helicase DNA binding protein 5"
"window_2482","chr1",6202500,6212500,10001,"*",122,48.4126984126984,"window_2482","388591",6205475,6221299,15825,"+",0,"overlapStart",0,"RNF207","ring finger protein 207"
"window_2482.1","chr1",6202500,6212500,10001,"*",122,48.4126984126984,"window_2482","102724450",6204840,6205780,941,"-",0,"includeFeature",0,"RNF207-AS1","RNF207 antisense RNA 1"
"window_2482.2","chr1",6202500,6212500,10001,"*",122,48.4126984126984,"window_2482","6146",6159430,6209389,49960,"-",0,"overlapStart",0,"RPL22","ribosomal protein L22"
"window_2483","chr1",6205000,6215000,10001,"*",124,49.2063492063492,"window_2483","388591",6205475,6221299,15825,"+",0,"overlapStart",0,"RNF207","ring finger protein 207"
"window_2483.1","chr1",6205000,6215000,10001,"*",124,49.2063492063492,"window_2483","102724450",6204840,6205780,941,"-",0,"overlapStart",0,"RNF207-AS1","RNF207 antisense RNA 1"
"window_2483.2","chr1",6205000,6215000,10001,"*",124,49.2063492063492,"window_2483","6146",6159430,6209389,49960,"-",0,"overlapStart",0,"RPL22","ribosomal protein L22"
"window_2484","chr1",6207500,6217500,10001,"*",119,47.2222222222222,"window_2484","388591",6205475,6221299,15825,"+",0,"inside",2024,"RNF207","ring finger protein 207"
"window_2484.1","chr1",6207500,6217500,10001,"*",119,47.2222222222222,"window_2484","102724450",6204840,6205780,941,"-",1719,"upstream",1719,"RNF207-AS1","RNF207 antisense RNA 1"
"window_2484.2","chr1",6207500,6217500,10001,"*",119,47.2222222222222,"window_2484","6146",6159430,6209389,49960,"-",0,"overlapStart",0,"RPL22","ribosomal protein L22"
"window_2485","chr1",6210000,6220000,10001,"*",124,49.2063492063492,"window_2485","6146",6159430,6209389,49960,"-",610,"upstream",610,"RPL22","ribosomal protein L22"
"window_2490","chr1",6222500,6232500,10001,"*",126,50,"window_2490","148645",6234692,6239444,4753,"+",2191,"upstream",2191,"LINC00337","long intergenic non-protein coding RNA 337"
"window_2491","chr1",6225000,6235000,10001,"*",124,49.2063492063492,"window_2491","148645",6234692,6239444,4753,"+",0,"overlapStart",0,"LINC00337","long intergenic non-protein coding RNA 337"
"window_2491.1","chr1",6225000,6235000,10001,"*",124,49.2063492063492,"window_2491","23463",6221193,6235972,14780,"-",0,"inside",971,"ICMT","isoprenylcysteine carboxyl methyltransferase"
"window_2498","chr1",6242500,6252500,10001,"*",117,46.4285714285714,"window_2498","390992",6244179,6245578,1400,"+",0,"includeFeature",0,"HES3","hes family bHLH transcription factor 3"
"window_2499","chr1",6245000,6255000,10001,"*",123,48.8095238095238,"window_2499","390992",6244179,6245578,1400,"+",0,"overlapEnd",820,"HES3","hes family bHLH transcription factor 3"
"window_2501","chr1",6250000,6260000,10001,"*",123,48.8095238095238,"window_2501","387509",6247353,6261098,13746,"-",0,"inside",1097,"GPR153","G protein-coupled receptor 153"
"window_2502","chr1",6252500,6262500,10001,"*",126,50,"window_2502","387509",6247353,6261098,13746,"-",0,"overlapStart",0,"GPR153","G protein-coupled receptor 153"
"window_2503","chr1",6255000,6265000,10001,"*",122,48.4126984126984,"window_2503","387509",6247353,6261098,13746,"-",0,"overlapStart",0,"GPR153","G protein-coupled receptor 153"
"window_2504","chr1",6257500,6267500,10001,"*",118,46.8253968253968,"window_2504","387509",6247353,6261098,13746,"-",0,"overlapStart",0,"GPR153","G protein-coupled receptor 153"
"window_2608","chr1",6517500,6527500,10001,"*",109,43.2539682539683,"window_2608","57449",6466092,6520061,53970,"-",0,"overlapStart",0,"PLEKHG5","pleckstrin homology and RhoGEF domain containing G5"
"window_2618","chr1",6542500,6552500,10001,"*",106,42.0634920634921,"window_2618","79707",6521347,6554513,33167,"-",0,"inside",2012,"NOL9","nucleolar protein 9"
"window_2618.1","chr1",6542500,6552500,10001,"*",106,42.0634920634921,"window_2618","80835",6555307,6579755,24449,"+",2806,"upstream",2806,"TAS1R1","taste 1 receptor member 1"
"window_2629","chr1",6570000,6580000,10001,"*",105,41.6666666666667,"window_2629","3104",6579994,6589280,9287,"+",0,"overlapStart",0,"ZBTB48","zinc finger and BTB domain containing 48"
"window_2630","chr1",6572500,6582500,10001,"*",124,49.2063492063492,"window_2630","3104",6579994,6589280,9287,"+",0,"overlapStart",0,"ZBTB48","zinc finger and BTB domain containing 48"
"window_2642","chr1",6602500,6612500,10001,"*",106,42.0634920634921,"window_2642","148479",6613731,6624030,10300,"+",1230,"upstream",1230,"PHF13","PHD finger protein 13"
"window_2642.1","chr1",6602500,6612500,10001,"*",106,42.0634920634921,"window_2642","9903",6590724,6614607,23884,"-",0,"inside",2106,"KLHL21","kelch like family member 21"
"window_2646","chr1",6612500,6622500,10001,"*",103,40.8730158730159,"window_2646","148479",6613731,6624030,10300,"+",0,"overlapStart",0,"PHF13","PHD finger protein 13"
"window_2646.1","chr1",6612500,6622500,10001,"*",103,40.8730158730159,"window_2646","9903",6590724,6614607,23884,"-",0,"overlapStart",0,"KLHL21","kelch like family member 21"
"window_2646.2","chr1",6612500,6622500,10001,"*",103,40.8730158730159,"window_2646","90326",6624866,6635586,10721,"+",2365,"upstream",2365,"THAP3","THAP domain containing 3"
"window_2647","chr1",6615000,6625000,10001,"*",101,40.0793650793651,"window_2647","148479",6613731,6624030,10300,"+",0,"overlapEnd",1268,"PHF13","PHD finger protein 13"
"window_2647.1","chr1",6615000,6625000,10001,"*",101,40.0793650793651,"window_2647","9903",6590724,6614607,23884,"-",392,"upstream",392,"KLHL21","kelch like family member 21"
"window_2647.2","chr1",6615000,6625000,10001,"*",101,40.0793650793651,"window_2647","90326",6624866,6635586,10721,"+",0,"overlapStart",0,"THAP3","THAP domain containing 3"
"window_2648","chr1",6617500,6627500,10001,"*",101,40.0793650793651,"window_2648","9903",6590724,6614607,23884,"-",2892,"upstream",2892,"KLHL21","kelch like family member 21"
"window_2648.1","chr1",6617500,6627500,10001,"*",101,40.0793650793651,"window_2648","90326",6624866,6635586,10721,"+",0,"overlapStart",0,"THAP3","THAP domain containing 3"
"window_2649","chr1",6620000,6630000,10001,"*",103,40.8730158730159,"window_2649","90326",6624866,6635586,10721,"+",0,"overlapStart",0,"THAP3","THAP domain containing 3"
"window_2650","chr1",6622500,6632500,10001,"*",110,43.6507936507937,"window_2650","90326",6624866,6635586,10721,"+",0,"overlapStart",0,"THAP3","THAP domain containing 3"
"window_2651","chr1",6625000,6635000,10001,"*",126,50,"window_2651","90326",6624866,6635586,10721,"+",0,"inside",133,"THAP3","THAP domain containing 3"
"window_2652","chr1",6627500,6637500,10001,"*",126,50,"window_2652","90326",6624866,6635586,10721,"+",0,"overlapEnd",2633,"THAP3","THAP domain containing 3"
"window_2677","chr1",6690000,6700000,10001,"*",106,42.0634920634921,"window_2677","55735",6634168,6701924,67757,"-",0,"inside",1923,"DNAJC11","DnaJ heat shock protein family (Hsp40) member C11"
"window_2680","chr1",6697500,6707500,10001,"*",116,46.031746031746,"window_2680","55735",6634168,6701924,67757,"-",0,"overlapStart",0,"DNAJC11","DnaJ heat shock protein family (Hsp40) member C11"
"window_2681","chr1",6700000,6710000,10001,"*",114,45.2380952380952,"window_2681","55735",6634168,6701924,67757,"-",0,"overlapStart",0,"DNAJC11","DnaJ heat shock protein family (Hsp40) member C11"
"window_2713","chr1",6780000,6790000,10001,"*",114,45.2380952380952,"window_2713","23261",6785454,7769706,984253,"+",0,"overlapStart",0,"CAMTA1","calmodulin binding transcription activator 1"
"window_2713.1","chr1",6780000,6790000,10001,"*",114,45.2380952380952,"window_2713","110841581",6783892,6784843,952,"-",0,"includeFeature",0,"CAMTA1-DT","CAMTA1 divergent transcript"
"window_2714","chr1",6782500,6792500,10001,"*",120,47.6190476190476,"window_2714","23261",6785454,7769706,984253,"+",0,"overlapStart",0,"CAMTA1","calmodulin binding transcription activator 1"
"window_2714.1","chr1",6782500,6792500,10001,"*",120,47.6190476190476,"window_2714","110841581",6783892,6784843,952,"-",0,"includeFeature",0,"CAMTA1-DT","CAMTA1 divergent transcript"
"window_2715","chr1",6785000,6795000,10001,"*",124,49.2063492063492,"window_2715","23261",6785454,7769706,984253,"+",0,"overlapStart",0,"CAMTA1","calmodulin binding transcription activator 1"
"window_2715.1","chr1",6785000,6795000,10001,"*",124,49.2063492063492,"window_2715","110841581",6783892,6784843,952,"-",156,"upstream",156,"CAMTA1-DT","CAMTA1 divergent transcript"
"window_2716","chr1",6787500,6797500,10001,"*",109,43.2539682539683,"window_2716","23261",6785454,7769706,984253,"+",0,"inside",2045,"CAMTA1","calmodulin binding transcription activator 1"
"window_2716.1","chr1",6787500,6797500,10001,"*",109,43.2539682539683,"window_2716","110841581",6783892,6784843,952,"-",2656,"upstream",2656,"CAMTA1-DT","CAMTA1 divergent transcript"
"window_3107","chr1",7765000,7775000,10001,"*",101,40.0793650793651,"window_3107","9341",7771296,7781432,10137,"+",0,"overlapStart",0,"VAMP3","vesicle associated membrane protein 3"
"window_3110","chr1",7772500,7782500,10001,"*",101,40.0793650793651,"window_3110","9341",7771296,7781432,10137,"+",0,"overlapEnd",1203,"VAMP3","vesicle associated membrane protein 3"
"window_3110.1","chr1",7772500,7782500,10001,"*",101,40.0793650793651,"window_3110","8863",7784320,7845177,60858,"+",1819,"upstream",1819,"PER3","period circadian regulator 3"
"window_3111","chr1",7775000,7785000,10001,"*",101,40.0793650793651,"window_3111","8863",7784320,7845177,60858,"+",0,"overlapStart",0,"PER3","period circadian regulator 3"
"window_3207","chr1",8015000,8025000,10001,"*",104,41.2698412698413,"window_3207","54206",8004404,8026309,21906,"-",0,"inside",1308,"ERRFI1","ERBB receptor feedback inhibitor 1"
"window_3212","chr1",8027500,8037500,10001,"*",112,44.4444444444444,"window_3212","54206",8004404,8026309,21906,"-",1190,"upstream",1190,"ERRFI1","ERBB receptor feedback inhibitor 1"
"window_3540","chr1",8847500,8857500,10001,"*",126,50,"window_3540","473",8352397,8848921,496525,"-",0,"overlapStart",0,"RERE","arginine-glutamic acid dipeptide repeats"
"window_3692","chr1",9227500,9237500,10001,"*",118,46.8253968253968,"window_3692","9563",9234775,9271337,36563,"+",0,"overlapStart",0,"H6PD","hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase"
"window_3715","chr1",9285000,9295000,10001,"*",126,50,"window_3715","80176",9292894,9369532,76639,"+",0,"overlapStart",0,"SPSB1","splA/ryanodine receptor domain and SOCS box containing 1"
"window_3719","chr1",9295000,9305000,10001,"*",107,42.4603174603175,"window_3719","80176",9292894,9369532,76639,"+",0,"inside",2105,"SPSB1","splA/ryanodine receptor domain and SOCS box containing 1"
"window_3832","chr1",9577500,9587500,10001,"*",108,42.8571428571429,"window_3832","199953",9588911,9614877,25967,"+",1410,"upstream",1410,"TMEM201","transmembrane protein 201"
"window_3835","chr1",9585000,9595000,10001,"*",101,40.0793650793651,"window_3835","199953",9588911,9614877,25967,"+",0,"overlapStart",0,"TMEM201","transmembrane protein 201"
"window_3836","chr1",9587500,9597500,10001,"*",101,40.0793650793651,"window_3836","199953",9588911,9614877,25967,"+",0,"overlapStart",0,"TMEM201","transmembrane protein 201"
"window_3837","chr1",9590000,9600000,10001,"*",102,40.4761904761905,"window_3837","199953",9588911,9614877,25967,"+",0,"inside",1088,"TMEM201","transmembrane protein 201"
"window_3960","chr1",9897500,9907500,10001,"*",106,42.0634920634921,"window_3960","56998",9848276,9910336,62061,"-",0,"inside",2835,"CTNNBIP1","catenin beta interacting protein 1"
"window_3961","chr1",9900000,9910000,10001,"*",119,47.2222222222222,"window_3961","56998",9848276,9910336,62061,"-",0,"inside",335,"CTNNBIP1","catenin beta interacting protein 1"
"window_3965","chr1",9910000,9920000,10001,"*",114,45.2380952380952,"window_3965","56998",9848276,9910336,62061,"-",0,"overlapStart",0,"CTNNBIP1","catenin beta interacting protein 1"
"window_4011","chr1",10025000,10035000,10001,"*",108,42.8571428571429,"window_4011","10277",10032832,10181239,148408,"+",0,"overlapStart",0,"UBE4B","ubiquitination factor E4B"
"window_4012","chr1",10027500,10037500,10001,"*",116,46.031746031746,"window_4012","10277",10032832,10181239,148408,"+",0,"overlapStart",0,"UBE4B","ubiquitination factor E4B"
"window_4015","chr1",10035000,10045000,10001,"*",109,43.2539682539683,"window_4015","10277",10032832,10181239,148408,"+",0,"inside",2167,"UBE4B","ubiquitination factor E4B"
"window_4085","chr1",10210000,10220000,10001,"*",102,40.4761904761905,"window_4085","23095",10210805,10381603,170799,"+",0,"overlapStart",0,"KIF1B","kinesin family member 1B"
"window_4156","chr1",10387500,10397500,10001,"*",111,44.047619047619,"window_4156","5226",10398592,10420511,21920,"+",1091,"upstream",1091,"PGD","phosphogluconate dehydrogenase"
"window_4157","chr1",10390000,10400000,10001,"*",122,48.4126984126984,"window_4157","5226",10398592,10420511,21920,"+",0,"overlapStart",0,"PGD","phosphogluconate dehydrogenase"
"window_4158","chr1",10392500,10402500,10001,"*",114,45.2380952380952,"window_4158","5226",10398592,10420511,21920,"+",0,"overlapStart",0,"PGD","phosphogluconate dehydrogenase"
"window_4177","chr1",10440000,10450000,10001,"*",102,40.4761904761905,"window_4177","1325",10449719,10451902,2184,"+",0,"overlapStart",0,"CORT","cortistatin"
